Date,Details,Amount,Currency,Debit/Credit,Status
2025-05-28,Travel,496.73,USD,Debit,Pending
2025-05-27,Amazon,760.44,USD,Debit,Completed
2025-05-26,Amazon,272.26,USD,Credit,Failed
2025-05-25,Amazon,864.07,NGN,Credit,Pending
2025-05-24,Amazon,435.6,USD,Credit,Completed
2025-05-23,Amazon,215.71,EUR,Credit,Completed
2025-05-22,Card Payment,816.94,NGN,Credit,Completed
2025-05-21,Card Payment,22.79,NGN,Debit,Failed
2025-05-20,Amazon,785.11,NGN,Debit,Pending
2025-05-19,Travel,156.85,NGN,Credit,Completed
2025-05-18,Card Payment,677.27,USD,Credit,Pending
2025-05-17,Card Payment,999.72,USD,Debit,Pending
2025-05-16,Amazon,853.8,NGN,Debit,Completed
2025-05-15,Card Payment,812.23,NGN,Debit,Completed
2025-05-14,Card Payment,525.45,EUR,Debit,Failed
2025-05-13,Travel,645.59,USD,Credit,Completed
2025-05-12,Amazon,616.24,USD,Credit,Completed
2025-05-11,Card Payment,842.44,EUR,Credit,Failed
2025-05-10,Travel,625.46,USD,Credit,Completed
2025-05-09,Travel,859.43,EUR,Debit,Pending
2025-05-08,Card Payment,455.11,NGN,Debit,Failed
2025-05-07,Travel,942.12,EUR,Debit,Completed
2025-05-06,Travel,783.02,USD,Credit,Failed
2025-05-05,Amazon,450.6,NGN,Debit,Completed
2025-05-04,Card Payment,292.04,EUR,Credit,Pending
2025-05-03,Travel,448.95,EUR,Debit,Pending
2025-05-02,Travel,759.51,NGN,Debit,Completed
2025-05-01,Travel,607.17,USD,Credit,Pending
2025-04-30,Card Payment,468.61,USD,Credit,Failed
2025-04-29,Amazon,111.27,NGN,Debit,Completed
2025-04-28,Travel,850.97,NGN,Credit,Completed
2025-04-27,Card Payment,350.89,EUR,Debit,Pending
2025-04-26,Amazon,829.59,NGN,Debit,Completed
2025-04-25,Travel,894.45,EUR,Credit,Pending
2025-04-24,Amazon,486.28,EUR,Debit,Pending
2025-04-23,Travel,582.98,NGN,Debit,Completed
2025-04-22,Card Payment,765.36,NGN,Debit,Pending
2025-04-21,Amazon,967.68,NGN,Credit,Pending
2025-04-20,Travel,252.19,USD,Debit,Failed
2025-04-19,Travel,189.11,EUR,Debit,Failed
2025-04-18,Amazon,873.93,USD,Credit,Pending
2025-04-17,Travel,858.0,NGN,Credit,Completed
2025-04-16,Card Payment,104.42,USD,Credit,Failed
2025-04-15,Travel,423.04,NGN,Debit,Failed
2025-04-14,Amazon,465.52,USD,Credit,Pending
2025-04-13,Card Payment,774.67,USD,Credit,Completed
2025-04-12,Card Payment,499.06,EUR,Debit,Failed
2025-04-11,Travel,20.0,USD,Credit,Failed
2025-04-10,Travel,264.83,USD,Credit,Pending
2025-04-09,Travel,773.05,EUR,Debit,Failed
2025-04-08,Card Payment,815.75,NGN,Credit,Failed
2025-04-07,Amazon,859.89,EUR,Debit,Pending
2025-04-06,Amazon,962.51,USD,Debit,Failed
2025-04-05,Amazon,235.76,EUR,Credit,Completed
2025-04-04,Travel,656.88,USD,Debit,Pending
2025-04-03,Card Payment,319.07,NGN,Credit,Completed
2025-04-02,Amazon,209.62,USD,Credit,Pending
2025-04-01,Amazon,967.35,NGN,Credit,Completed
2025-03-31,Card Payment,813.05,NGN,Debit,Failed
2025-03-30,Card Payment,910.47,EUR,Credit,Completed
2025-03-29,Card Payment,583.61,EUR,Credit,Failed
2025-03-28,Travel,270.44,EUR,Debit,Pending
2025-03-27,Amazon,30.76,USD,Debit,Pending
2025-03-26,Travel,449.85,EUR,Credit,Failed
2025-03-25,Travel,351.04,EUR,Debit,Failed
2025-03-24,Card Payment,476.16,NGN,Credit,Completed
2025-03-23,Card Payment,27.44,EUR,Credit,Pending
2025-03-22,Travel,980.19,EUR,Credit,Pending
2025-03-21,Amazon,771.82,EUR,Debit,Failed
2025-03-20,Amazon,176.41,NGN,Debit,Completed
2025-03-19,Travel,846.66,EUR,Debit,Completed
2025-03-18,Card Payment,919.75,EUR,Credit,Failed
